Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Downtown Phoenix,The Bitter & Twisted Social,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=The+Bitter+&+Twisted+Social+Downtown+Phoenix&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails",33.4474,-112.0735
Downtown Phoenix,Valley Bar Underground,Music Venue / Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Valley+Bar+Underground+Downtown+Phoenix&travelmode=driving,"drinks, live-music, loud, social",33.4509,-112.0745
Downtown Phoenix,Central Avenue Brewing,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Central+Avenue+Brewing+Downtown+Phoenix&travelmode=driving,"drinks, chill, social, brewery, casual",33.4489,-112.0755
Downtown Phoenix,Copper Star Karaoke,Karaoke,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Copper+Star+Karaoke+Downtown+Phoenix&travelmode=driving,"group-fun, interactive, karaoke",33.4469,-112.0765
Roosevelt Row,The Roosevelt Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=The+Roosevelt+Social+Roosevelt+Row+Phoenix&travelmode=driving,"drinks, social, chill",33.4504,-112.0705
Roosevelt Row,Lost Leaf Lounge,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Lost+Leaf+Lounge+Roosevelt+Row+Phoenix&travelmode=driving,"drinks, chill, live-music, social",33.4539,-112.0715
Roosevelt Row,First Friday Wine Bar,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=First+Friday+Wine+Bar+Roosevelt+Row+Phoenix&travelmode=driving,"date-friendly, drinks, chill, wine-bar",33.4519,-112.0725
Scottsdale,The Jade Lounge,Lounge,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=The+Jade+Lounge+Scottsdale&travelmode=driving,"date-friendly, drinks, upscale, chill, trendy",33.4674,-112.0135
Scottsdale,Desert Ridge Sports Bar,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Desert+Ridge+Sports+Bar+Scottsdale&travelmode=driving,"drinks, social, loud, sports-bar, casual",33.4709,-112.0145
Old Town Scottsdale,The Rusty Spur Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=The+Rusty+Spur+Social+Old+Town+Scottsdale&travelmode=driving,"drinks, social, trendy",33.4624,-112.0185
Old Town Scottsdale,Cactus Club Nightlife,Nightclub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Cactus+Club+Nightlife+Old+Town+Scottsdale&travelmode=driving,"dancey, high-energy, late-night, trendy",33.4659,-112.0195
Old Town Scottsdale,Saguaro Cocktails,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Saguaro+Cocktails+Old+Town+Scottsdale&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, trendy",33.4639,-112.0205
Old Town Scottsdale,Sonoran Nights Cantina,Restaurant / Bar,1:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Sonoran+Nights+Cantina+Old+Town+Scottsdale&travelmode=driving,"drinks, food-focused, late-eats, social, trendy",33.4619,-112.0215
Tempe,Mill & Ash Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Mill+&+Ash+Pub+Tempe&travelmode=driving,"drinks, social, casual, neighborhood-gem, college",33.4174,-112.0435
Tempe,Sun Devil Pint House,Sports Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Sun+Devil+Pint+House+Tempe&travelmode=driving,"loud, sports-bar, college",33.4209,-112.0445
Tempe,The Lantern After Dark,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=The+Lantern+After+Dark+Tempe&travelmode=driving,"drinks, social, late-night, college, casual",33.4189,-112.0455
Tempe,Rio Salado Brewing,Brewery / Taproom,11:00 PM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Rio+Salado+Brewing+Tempe&travelmode=driving,"chill, brewery, college",33.4169,-112.0465
Mill Avenue,Sixth Street Tavern,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Sixth+Street+Tavern+Mill+Avenue+Tempe&travelmode=driving,"drinks, social, college, casual",33.4224,-112.0485
Mill Avenue,Late Night Falafel House,Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=Late+Night+Falafel+House+Mill+Avenue+Tempe&travelmode=driving,"food-focused, late-eats, college, casual",33.4259,-112.0495
Arcadia,The Vig Social,Bar / Restaurant,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Phoenix&destination=The+Vig+Social+Arcadia+Phoenix&travelmode=driving,"drinks, food-focused, social, chill",33.4574,-112.0335
