Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Deep Ellum,The Elm Street Social,Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Elm+Street+Social+Deep+Ellum+Dallas&travelmode=driving,"drinks, social, late-night, hipster, trendy",32.7727,-96.7865
Deep Ellum,Commerce Street Brewing,Brewery / Taproom,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Commerce+Street+Brewing+Deep+Ellum+Dallas&travelmode=driving,"chill, brewery, hipster, trendy",32.7762,-96.7875
Deep Ellum,The Neon Lounge,Bar / Club,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Neon+Lounge+Deep+Ellum+Dallas&travelmode=driving,"dancey, high-energy, late-night, hipster, trendy",32.7742,-96.7885
Deep Ellum,Deep Ellum Live Stage,Music Venue / Bar,Late,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Deep+Ellum+Live+Stage+Deep+Ellum+Dallas&travelmode=driving,"live-music, loud, hipster, trendy",32.7722,-96.7895
Deep Ellum,Midnight Slice DFW,Restaurant,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Midnight+Slice+DFW+Deep+Ellum+Dallas&travelmode=driving,"food-focused, late-eats, hipster, trendy",32.7757,-96.784
Uptown,The McKinney Pour,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+McKinney+Pour+Uptown+Dallas&travelmode=driving,"date-friendly, drinks, upscale, craft-cocktails, trendy",32.7857,-96.8015
Uptown,Uptown Social Club,Lounge,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Uptown+Social+Club+Uptown+Dallas&travelmode=driving,"upscale, chill, date-friendly, trendy",32.7892,-96.8025
Uptown,The West Village Pub,Pub,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+West+Village+Pub+Uptown+Dallas&travelmode=driving,"drinks, social, casual, neighborhood-gem",32.7872,-96.8035
Bishop Arts,The Bishop's Pour,Cocktail Bar,2:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=The+Bishop's+Pour+Bishop+Arts+Dallas&travelmode=driving,"date-friendly, drinks, chill, craft-cocktails, upscale",32.7607,-96.8065
Bishop Arts,Oak Cliff Wine Room,Wine Bar,12:00 AM,,,,Click link,https://www.google.com/maps/dir/?api=1&origin=Downtown+Dallas&destination=Oak+Cliff+Wine+Room+Bishop+Arts+Dallas&travelmode=driving,"date-friendly, drinks, chill, wine-bar",32.7642,-96.8075
