Area,Name,Category,Typical Closing Time,Address,Phone,Website,Driving Distance,Google Maps Driving Link,Vibe Tags,Latitude,Longitude
Mission,ABV,Cocktail Bar,2:00 AM,3174 16th St,,,,,"date-friendly, drinks, upscale, craft-cocktails, hipster",37.7589,-122.4139
Mission,El Rio,Bar,2:00 AM,3158 Mission St,,,,,"drinks, social, dancey, hipster, trendy",37.7624,-122.4149
Mission,Trick Dog,Cocktail Bar,2:00 AM,3010 20th St,,,,,"date-friendly, drinks, upscale, craft-cocktails, hipster",37.7604,-122.4159
Mission,Zeitgeist,Dive Bar,2:00 AM,199 Valencia St,,,,,"chill, dive, neighborhood-gem, hipster, trendy",37.7584,-122.4169
Castro,Twin Peaks Tavern,Bar,2:00 AM,401 Castro St,,,,,"chill, drinks, social, lgbtq-friendly",37.7639,-122.4239
Castro,Beaux,Nightclub,2:00 AM,2344 Market St,,,,,"dancey, high-energy, late-night, lgbtq-friendly",37.7674,-122.4249
North Beach,Vesuvio Cafe,Bar,2:00 AM,255 Columbus Ave,,,,,"chill, drinks, social",37.7839,-122.4139
North Beach,Tosca Cafe,Cocktail Bar,2:00 AM,242 Columbus Ave,,,,,"date-friendly, drinks, upscale, craft-cocktails",37.7874,-122.4149
North Beach,Spec's Twelve Adler Museum Cafe,Dive Bar,2:00 AM,12 William Saroyan Pl,,,,,"chill, dive, neighborhood-gem",37.7854,-122.4159
SoMa,Butter,Nightclub,2:00 AM,354 11th St,,,,,"dancey, high-energy, late-night",37.7689,-122.4109
SoMa,Cat Club,Nightclub,2:00 AM,1190 Folsom St,,,,,"dancey, high-energy, late-night",37.7724,-122.4119
SoMa,DNA Lounge,Nightclub / Music Venue,2:00 AM,375 11th St,,,,,"dancey, high-energy, live-music",37.7704,-122.4129
Marina,The Tipsy Pig,Bar / Restaurant,2:00 AM,2231 Chestnut St,,,,,"drinks, food-focused, social, trendy",37.7889,-122.4289
Marina,Mauna Loa,Bar,2:00 AM,3009 Fillmore St,,,,,"drinks, social, trendy",37.7924,-122.4299
Hayes Valley,Smuggler's Cove,Cocktail Bar,1:15 AM,650 Gough St,,,,,"date-friendly, drinks, upscale, craft-cocktails, trendy",37.7709,-122.4239
Hayes Valley,Noir Lounge,Lounge,2:00 AM,581 Hayes St,,,,,"chill, date-friendly, drinks, trendy",37.7744,-122.4249
Lower Haight,Toronado,Bar,2:00 AM,547 Haight St,,,,,"drinks, social, hipster, trendy",37.7689,-122.4269
Lower Haight,Noc Noc,Bar,2:00 AM,557 Haight St,,,,,"chill, drinks, social, hipster, trendy",37.7724,-122.4279
Tenderloin,Bourbon & Branch,Cocktail Bar,2:00 AM,501 Jones St,,,,,"date-friendly, drinks, upscale, craft-cocktails",37.7759,-122.4159
Tenderloin,Edinburgh Castle,Bar,2:00 AM,950 Geary St,,,,,"drinks, live-music, social",37.7794,-122.4169
Polk Gulch,Kozy Kar,Lounge,2:00 AM,1548 Polk St,,,,,"chill, drinks, social, date-friendly",37.7789,-122.4189
Dogpatch,Harmonic Brewing,Brewery,9:00 PM,1050 26th St,,,,,"chill, drinks, social, brewery, casual",37.7539,-122.4069
Chinatown,Li Po Cocktail Lounge,Dive Bar,2:00 AM,916 Grant Ave,,,,,"chill, dive, neighborhood-gem",37.7789,-122.4139
Financial District,The Treasury,Cocktail Bar,12:00 AM,200 Bush St,,,,,"date-friendly, drinks, upscale, craft-cocktails",37.7769,-122.4109
Mission,Karaoke at Pandora,Karaoke,2:00 AM,50 Mason St,,,,,"group-fun, interactive, karaoke, hipster, trendy",37.7619,-122.4114
North Beach,Grant & Green,Music Venue / Bar,2:00 AM,1371 Grant Ave,,,,,"drinks, live-music, social",37.7834,-122.4169
